Sample ID,Longitude,Latitude,Turbidity,Iron,Alkalinity,Chloride,Hardness,pH,Fluoride,Nitrate,Nitrite,Ammonia,Phosphate,Calcium,Magnesium,DO,Conductivity
1,77.52784,11.35006,1.63,0,88.8,28.2,70,7.5,1,1,0,0,0.1,14,56,75.7,342.8
2,77.53145,11.35594,7.67,2,177.6,63.5,148,7.9,1.5,0,0,0,0.9,29.6,118.4,76.1,826.7
3,77.53606,11.34993,0.01,0,199.2,77.6,218,7.9,3,55,0.2058,0,0.1,43.6,174.4,75.7,1070
4,77.54199,11.35006,0.03,0,124.8,42.3,124,7.6,1,45,0,0,0.9,24.8,99.2,76.1,640.5
5,77.54283,11.34143,0.03,0.3,163.2,119.9,134,7.4,1,25,0.2744,0,0.1,26.8,107.2,74.3,971.9
6,77.55506,11.34406,0.04,0,213.6,211.5,242,7.4,1,75,0.1372,0,0.3,48.4,193.6,74.7,1686
7,77.53838,11.34364,0.04,0.3,228,105.8,198,7.7,1,45,0.0686,0,0.6,39.6,158.4,74.9,1177
8,77.52898,11.34123,0.04,0,158.4,49.4,122,7.5,1,25,0.0343,0,0.1,22.4,99.6,73.9,596
9,77.53247,11.34045,0.14,0,168,63.5,164,7.7,1.5,25,0.0686,0,0.1,32.8,131.2,76.3,825.6
10,77.52718,11.33904,0.13,0,130.8,28.2,118,7.5,1,25,0.0343,0,0.9,23.6,94.4,76.4,504.4
11,77.52086,11.3381,0.03,0,177.6,423,500,7.4,1,55,0.0343,0,0.1,100,400,77.5,2386
12,77.543745,11.340981,0.5,0,77,91.65,77,8.2,1.3,0,0.0343,0,0.6132,30,232.7,74,461.6
13,77.54552218,11.34146163,0.25,0,130,232.6,293,7.9,1,55,0.0686,0,1.5,120,246.8,73,1676
14,77.54552219,11.34146163,0.16,0,12,26.085,216,8.2,1,25,0,0.5,0.3066,40,260.9,70,613.9
15,77.52625655,11.33954612,0.2,0,160,21.855,216,7.9,1,45,0.606,0,1.3,100,274.9,71,956.3
16,77.52739985,11.33894585,0.23,0,240,77.55,252,7.9,1,100,0,0,0,70,289,72,948.8
17,77.52780117,11.33902902,0.14,0,168,239.7,336,7.6,1,55,0.2058,0,0.3066,120,303,69,1708
18,77.5279383,11.33900535,0.02,0,108,49.35,109,8,1.3,0,0.0343,0,0.9198,50,317.1,68,420.5
19,77.52192311,11.34394747,0.07,0,88,28.2,93.5,8,1,0,0,0,0.6132,60,331.2,69,376.1
20,77.51933243,11.33679725,0.12,0.3,24,28.2,96,8.2,1,0,0.343,0,0.6132,50,345.2,68,439.7
21,77.53821921,11.34304149,0.46,0.3,96,17.625,110.5,8.1,1.3,0,3.43,0,0,40,359.3,58,469.6
22,77.53823463,11.34339948,0.41,0,216,77.55,230.4,8,0,45,0.0343,0.5,0.3066,90,373.3,75,1048
23,77.53844485,11.3435691,0.13,0,165.6,42.3,103.2,7.9,1,25,0.0686,0,0.3066,70,387.4,71,790.8
24,77.52103932,11.33814407,0.29,0,104.4,35.25,192,8,0.5,25,0.0686,0,0.9198,70,401.4,82,519.4
25,77.52194826,11.33838076,0.01,0,103.2,21.15,112.8,8.1,1,25,0.0686,0.5,0.6132,60,415.5,68,425.9
26,77.53710575,11.34269,0.24,0,206.4,98.7,18.48,8,1,75,3.43,0,0.9198,70,429.6,74,1139
27,77.53685497,11.34257404,0.37,0,194.4,56.4,127.2,7.9,1,45,0.0343,0,0.3066,90,443.6,71,953.9
28,77.53710575,11.34269206,0.1,0,187.2,63.45,117.6,8.5,1,25,0.0686,0,0.3066,90,457.7,75,957.8
29,77.536379,11.349904,0.05,0,183.6,282,331.2,8,0.5,55,0,0,0.3066,130,471.7,75,1958
30,77.536379,11.349904,0.43,0,194.4,162.15,220.8,7.5,1,55,0.0686,0,0.3066,100,485.8,69,1488
